date;city;casos;tipo
2020-04-01;Duque de Caxias;   6;real
2020-04-01;Estado RJ; 832;real
2020-04-01;Niteroi;  62;real
2020-04-01;Petropolis;   5;real
2020-04-01;Rio de Janeiro; 697;real
2020-04-01;Sao Goncalo;  11;real
2020-04-01;Volta Redonda;  12;real
2020-03-31;Barra Mansa;   2;real
2020-03-31;Belford Roxo;   2;real
2020-03-31;Duque de Caxias;   5;real
2020-03-31;Estado RJ; 708;real
2020-03-31;Niteroi;  57;real
2020-03-31;Petropolis;   5;real
2020-03-31;Rio de Janeiro; 586;real
2020-03-31;Sao Goncalo;   9;real
2020-03-31;Volta Redonda;  12;real
2020-03-30;Barra Mansa;   1;real
2020-03-30;Belford Roxo;   2;real
2020-03-30;Duque de Caxias;   5;real
2020-03-30;Estado RJ; 657;real
2020-03-30;Niteroi;  47;real
2020-03-30;Petropolis;   4;real
2020-03-30;Rio de Janeiro; 553;real
2020-03-30;Sao Goncalo;   7;real
2020-03-30;Volta Redonda;  11;real
2020-03-29;Barra Mansa;   1;real
2020-03-29;Belford Roxo;   2;real
2020-03-29;Duque de Caxias;   5;real
2020-03-29;Estado RJ; 600;real
2020-03-29;Niteroi;  39;real
2020-03-29;Petropolis;   4;real
2020-03-29;Rio de Janeiro; 516;real
2020-03-29;Sao Goncalo;   6;real
2020-03-29;Volta Redonda;  11;real
2020-03-28;Barra Mansa;   1;real
2020-03-28;Belford Roxo;   1;real
2020-03-28;Duque de Caxias;   3;real
2020-03-28;Estado RJ; 558;real
2020-03-28;Niteroi;  37;real
2020-03-28;Petropolis;   3;real
2020-03-28;Rio de Janeiro; 489;real
2020-03-28;Sao Goncalo;   4;real
2020-03-28;Volta Redonda;  11;real
2020-03-27;Barra Mansa;   1;real
2020-03-27;Belford Roxo;   1;real
2020-03-27;Duque de Caxias;   3;real
2020-03-27;Estado RJ; 493;real
2020-03-27;Niteroi;  36;real
2020-03-27;Petropolis;   3;real
2020-03-27;Rio de Janeiro; 431;real
2020-03-27;Sao Goncalo;   4;real
2020-03-27;Volta Redonda;   9;real
2020-03-26;Barra Mansa;   1;real
2020-03-26;Belford Roxo;   1;real
2020-03-26;Duque de Caxias;   2;real
2020-03-26;Estado RJ; 421;real
2020-03-26;Niteroi;  31;real
2020-03-26;Petropolis;   3;real
2020-03-26;Rio de Janeiro; 368;real
2020-03-26;Sao Goncalo;   3;real
2020-03-26;Volta Redonda;   7;real
2020-03-25;Barra Mansa;   1;real
2020-03-25;Duque de Caxias;   2;real
2020-03-25;Estado RJ; 370;real
2020-03-25;Niteroi;  19;real
2020-03-25;Petropolis;   3;real
2020-03-25;Rio de Janeiro; 331;real
2020-03-25;Sao Goncalo;   3;real
2020-03-25;Volta Redonda;   6;real
2020-03-24;Barra Mansa;   1;real
2020-03-24;Duque de Caxias;   1;real
2020-03-24;Estado RJ; 305;real
2020-03-24;Niteroi;  12;real
2020-03-24;Petropolis;   3;real
2020-03-24;Rio de Janeiro; 276;real
2020-03-24;Sao Goncalo;   3;real
2020-03-24;Volta Redonda;   4;real
2020-03-23;Barra Mansa;   1;real
2020-03-23;Estado RJ; 233;real
2020-03-23;Niteroi;  10;real
2020-03-23;Petropolis;   3;real
2020-03-23;Rio de Janeiro; 212;real
2020-03-23;Sao Goncalo;   3;real
2020-03-22;Barra Mansa;   1;real
2020-03-22;Estado RJ; 186;real
2020-03-22;Niteroi;  10;real
2020-03-22;Petropolis;   3;real
2020-03-22;Rio de Janeiro; 168;real
2020-03-21;Barra Mansa;   1;real
2020-03-21;Estado RJ; 119;real
2020-03-21;Niteroi;  10;real
2020-03-21;Petropolis;   3;real
2020-03-21;Rio de Janeiro;  99;real
2020-03-19;Barra Mansa;   1;real
2020-03-19;Estado RJ;  66;real
2020-03-19;Niteroi;   7;real
2020-03-19;Rio de Janeiro;  56;real
2020-03-18;Barra Mansa;   1;real
2020-03-18;Estado RJ;  63;real
2020-03-18;Niteroi;   6;real
2020-03-18;Rio de Janeiro;  55;real
2020-03-16;Barra Mansa;   1;real
2020-03-16;Estado RJ;  25;real
2020-03-16;Niteroi;   1;real
2020-03-16;Rio de Janeiro;  23;real
2020-03-15;Barra Mansa;   1;real
2020-03-15;Estado RJ;  24;real
2020-03-15;Niteroi;   1;real
2020-03-15;Rio de Janeiro;  22;real
2020-03-12;Barra Mansa;   1;real
2020-03-12;Estado RJ;  15;real
2020-03-12;Niteroi;   1;real
2020-03-12;Rio de Janeiro;  13;real
2020-03-08;Barra Mansa;   1;real
2020-03-08;Estado RJ;   3;real
2020-03-08;Rio de Janeiro;   2;real
2020-03-06;Barra Mansa;   1;real
2020-03-06;Estado RJ;   2;real
2020-03-06;Rio de Janeiro;   1;real
2020-03-05;Barra Mansa;   1;real
2020-03-05;Estado RJ;   1;real
